TransactionID,CreditorName,Category,Amount
202402265EQEO6348678,MORE TEA TAPIOL     Espoo,['Boba'],4.95
202402265EQEO4924423,ESPRESSO HOUSE 1266 TAMPERE,['Coffee shop'],5.31
202402265EQEO4924422,NORMAL TAMPERE RATI TAMPERE,['Groceries'],2.85
202402265EQEO4924421,LIDL TAMPERE-RATINA TAMPERE,['Groceries'],2.0
202402265EQEO4924420,K-Supermarket Ratin Tampere,['Groceries'],5.85
202402265EQEO2037834,CINDYN AASIALAINEN  TAMPERE,['Aasialainen kauppa'],6.4
202402265EQEO1037065,Wolt Oy             Finland,['Ordering Wolt'],13.49
202402265EQEO1037064,K-SUPERMARKET HERKK TAMPERE,['Groceries'],5.97
202402235EQEO2032819,CINDYN AASIALAINEN  TAMPERE,['Aasialainen kauppa'],13.89
202402235EQEO1698662,LIDL TRE-HERVANTA   TAMPERE,['Groceries'],17.31
202402215EQEO1619803,Wolt Oy             Finland,['Ordering Wolt'],14.18
202402195EQEO2037405,CINDYN AASIALAINEN  TAMPERE,['Aasialainen kauppa'],5.3
202402195EQEO1020371,Wolt Oy             Finland,['Ordering Wolt'],14.18
202402195EQEO1020370,K-Supermarket Ratin Tampere,['Groceries'],13.36
202402165EQEO1749321,Wolt Oy             Finland,['Ordering Wolt'],22.69
202402155EQEO1646350,CITY TOKMANNI KOSKI TAMPERE,['Groceries'],2.3
202402145EQEO1574833,MOB.PAY*DANIA VANES HELSINKI,['Other'],16.8
202402125EQEO6354086,MOB.PAY*THI MINH NG HELSINKI,['Other'],50.0
202402125EQEO6354085,K-Supermarket Ratin Tampere,['Groceries'],4.99
202402125EQEO4858035,CINDYN AASIALAINEN  TAMPERE,['Aasialainen kauppa'],19.29
202402125EQEO4858034,TOKMANNI HERVANTA   TAMPERE,['Groceries'],5.0
202402125EQEO4858033,LIDL TRE-HERVANTA   TAMPERE,['Groceries'],13.69
202402125EQEO4858032,Wolt Oy             Finland,['Ordering Wolt'],23.85
202402125EQEO4858031,OY GOLDEN CROP      Tampere,['Aasialainen kauppa'],6.61
202402125EQEO4858030,OY GOLDEN CROP      Tampere,['Aasialainen kauppa'],1.62
202402125EQEO4858029,Aasia Market Tamper Tampere,['Aasialainen kauppa'],23.08
202402125EQEO1975883,LIDL TAMPERE-RATINA TAMPERE,['Groceries'],2.38
